originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_2016,regionflow_2017,regionflow_2018,regionflow_2019,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_2016,countryflow_2017,countryflow_2018,countryflow_2019,origin_show,destination_show
15,Brock,15,Brock,1,488000,507000,1033000,,Brock,Brock,Brock,Brock,1,488000,507000,1033000,1,1
15,Brock,9,Cam,1,49000,91000,163000,,Brock,Brock,Cam,Cam,1,49000,91000,163000,1,1
15,Brock,6,Chad,1,59000,157000,443000,,Brock,Brock,Chad,Chad,1,59000,157000,443000,1,1
15,Brock,12,Clayton,1,28000,74000,134000,,Brock,Brock,Clayton,Clayton,1,28000,74000,134000,1,1
15,Brock,8,Dehaan,1,5000,16000,74000,,Brock,Brock,Dehaan,Dehaan,1,5000,16000,74000,1,1
15,Brock,11,Dubov,1,111000,239000,521000,,Brock,Brock,Dubov,Dubov,1,111000,239000,521000,1,1
15,Brock,14,Dylan,1,153000,54000,155000,,Brock,Brock,Dylan,Dylan,1,153000,54000,155000,1,1
15,Brock,2,Erik,1,270000,387000,777000,,Brock,Brock,Erik,Erik,1,270000,387000,777000,1,1
15,Brock,7,Houman,1,19000,43000,94000,,Brock,Brock,Houman,Houman,1,19000,43000,94000,1,1
15,Brock,3,Ian,1,174000,197000,457000,,Brock,Brock,Ian,Ian,1,174000,197000,457000,1,1
15,Brock,0,Jimmy,1,0,3000,9000,,Brock,Brock,Jimmy,Jimmy,1,0,3000,9000,1,1
15,Brock,10,Mark,1,77000,152000,310000,,Brock,Brock,Mark,Mark,1,77000,152000,310000,1,1
15,Brock,13,Matt,1,231000,171000,226000,,Brock,Brock,Matt,Matt,1,231000,171000,226000,1,1
15,Brock,4,Rengel,1,65000,56000,197000,,Brock,Brock,Rengel,Rengel,1,65000,56000,197000,1,1
15,Brock,1,Scott,1,0,0,3000,,Brock,Brock,Scott,Scott,1,0,0,3000,1,1
9,Cam,15,Brock,1,39000,73000,144000,,Cam,Cam,Brock,Brock,1,39000,73000,144000,1,1
9,Cam,9,Cam,1,422000,692000,946000,,Cam,Cam,Cam,Cam,1,422000,692000,946000,1,1
9,Cam,6,Chad,1,84000,238000,519000,,Cam,Cam,Chad,Chad,1,84000,238000,519000,1,1
