originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,origin_show,destination_show
1,North America,1,North America,57617,191071,84668,96102,,CAN,Canada,CAN,Canada,0,0,0,0,1,1
1,North America,1,North America,57617,191071,84668,96102,,CAN,Canada,USA,United States,1509,190436,238,28,1,1
1,North America,1,North America,57617,191071,84668,96102,,USA,United States,CAN,Canada,56108,635,84430,96074,1,1
1,North America,1,North America,57617,191071,84668,96102,,USA,United States,USA,United States,0,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,ARE,United Arab Emirates,0,0,0,9,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,BHR,Bahrain,0,0,0,62,1,0
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,CYP,Cyprus,893,357,617,366,1,0
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,IRQ,Iraq,31,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,ISR,Israel,6829,606,510,1821,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,JOR,Jordan,1383,6,0,285,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,KWT,Kuwait,0,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,LBN,Lebanon,4427,10,0,77,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,OMN,Oman,0,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,PSE,Palestine,364,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,QAT,Qatar,0,0,0,157,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,SAU,Saudi Arabia,0,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,SYR,Syria,0,0,0,465,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,TUR,Turkey,652,4,1299,2121,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,YEM,Yemen,311,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,ARE,United Arab Emirates,802,0,649,4530,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,BHR,Bahrain,52,0,6,1035,1,0
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,CYP,Cyprus,3714,21,4289,4167,1,0
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,IRQ,Iraq,1364,1,0,8,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,ISR,Israel,48333,55,24544,64692,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,JOR,Jordan,5853,7,0,441,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,KWT,Kuwait,0,0,12,12,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,LBN,Lebanon,20503,14,0,118,1,1
